id,author,updated_time,device,spent,stars,contents,ups,downs
24416580,恶魔的爱,1619531334,Vivo 1818,120001,1,王者荣耀不行了，不能玩就别出了，还给我弄了实名制，我都弄了800回实名制了，能不能别让我弄实名制了呀？不能玩就别出了。把你那个英雄联盟重新上线吧，出点皮肤别更换场景了。如果你更换场景，保持原来的形象，所有的东西不要弄得一会儿写高了，一会儿写低了的。你说怎么玩儿吧，你说我那个号挺好的，你咔咔给我捡点血，不是捡点血就加点血，边打边捡血。投诉吐槽。我吐槽这个游戏顶多也就一分一分，一分就一分。都不值了。不相信的话你自己体验一把，什么都别加。刚上来发育就几个装备。装备而且都不全你知道吧，现在改了弄的。,1,0
24416505,冬瓜皮丶,1619531100,vivo X27,0,4,dota玩家，一开始对王者无感，后来从游戏属性变为社交属性后，慢慢玩王者成了习惯，就一直玩下去吧。相信王者可以越做越好,1,0
24416446,官方提示,1619530878,小米Redmi K30 Pro,0,1,垃圾王者荣耀，什么***匹配机制,0,0
24416336,。 。,1619530432,华为Nova 3,119918,2,腾讯游戏，懂得都懂，不否认有优点，但是这个匹配机制就恶心人了，嘴上说没有针对任何一个玩家，实际上连胜就会被制裁，经常就是无脑队友，举报也不成功。给两颗星是为了我这么久时间和充的钱，这个游戏玩玩可以，但是不要太认真，不然气的只能是你自己，不用指望举报系统，那个东西和没有一样,4,0
24416324,gbbb,1619530371,Vivo V2072A,0,1,吐了，这赛季是个啥玩意，某些玩家素质低不说，还各种挂机，匹配机制搞不懂，连赢更要他命一样，这赛季退了，下赛季再看吧,0,0
24416207,风清云淡,1619529828,荣耀30 ,0,5,我觉得还行吧！,0,0
24416163,樱雪喵,1619529592,,4326,1,这游戏吧，越做越偷懒，我现在好不容易习惯新赛季的一切光影了，我终究不能习惯给我匹配的队友，歧视的，xsr的，瞧不起人的，玩的菜拿学历当人上人的，口吐芬芳的，玩的菜还怪别人的。我也不是觉得自己多厉害，我菜别人说我都人，你上来问候双亲难不成我还能低声下气的说是是是您说得对？打把游戏开头骂我是情侣的，瞧不起的，一顿骂骂一局的，骂完还开全部骂我，完了对面跟着一块骂我，贬低人的。对人不尊敬的，我不想理你反而蹬鼻子上脸，直接成人身攻击，好一个网络人上人。骂人的太多了，xsr都见过了。球球了，举报系统多少管点用吧，我来打游戏的不是来添堵的，一堆人渣举报还不成功，就算扣分了之后还能答题加回去，隔着玩啥表面安慰啊。,2,0
24415797,江亦辰℡,1619527912,小米Redmi K30 Pro,0,3,玩中路，就是是个人就能蹭呗。,0,0
24415455,时间滴话,1619526274,,58487,3,为什么右上角的商店/设置不能自定义位置？换了个全面屏手机一场团战右手食指能不小心打开三次商店，气的想砸手机了都,0,0
24415097,小君,1619524759,小米MI 9,120001,4,国产手游moba发展史：还有s0王者是什么样子。当年国产moba个个都是抄袭，当年手游moba能玩基本都玩了。王者农药对标网易的乱斗西游出的（早期火的乱斗西游可惜到死就是找不到自己产品定位死了），全民超神才是对标自由之战的产品（自由之战平衡，质量不行全民的打不过）。全民超神因为门槛和英雄获取难度，要抽的，还有pve那些恶心要素，给更新了5v5的王者直接干碎。王者农药英雄就靠近战英雄普通攻击为AOE，近战英雄不用麻烦的切敌体验上了一个档次，和除那3个氪金英雄其他英雄都可以肝，慢慢更新平衡完善全靠同行衬托，干碎全民超神直接拿下市场。老手游玩家路过。自由之战告王者只不过是因为王者蒸蒸日上，自由都快没了，眼红在借抄袭舆论发起申讨，可惜自己也是不干净的，之后没了声音，上法庭，后私下解了，开始把抄袭LOL的东西重做。那时腾讯已经百分百控股，叫拳头解决一下是个小事，为啥私了，因为农药那时已经入抄袭舆论风波，不想在把事情闹大，应该是想慢慢装死平息舆论，把那时的长安版本直接砍了，里面有几个素材做成了钟馗，之后开始重做英雄，发展IP价值计划。对了，海外版本农药在上海外服时，腾讯直接叫拳头告了那个先在海外市场占大头市场的无尽对决，为海外版本农药开路。无尽对决是上海一个公司做的，他早期版本里那个对标王者宫本的英雄，大招跟王者旧宫本效果一样，3个技能图标也一样，农药的素材2333，怪不得。可惜国际服农药还是太烂了不温不火，拿不下海外市场，前几年腾讯光子工作室的xxx去拳头洽谈LOL手游，之后合作制作搞出了现在的LOL手游，其实主要目标是海外moba手游市场，并不是国内，国内能恰几分是几分。我自由是因为那时平衡离谱退坑的男刀见面秒，那个飞剑的英雄离谱难反制，几个版本没砍恶心死了，其他那几个moba在同时玩，都是开服玩家，那时我热衷于moba游戏，玩不到电脑LOL就玩手机moba，之后就主玩英雄战迹（农药）和全民，全民超神慢慢也不行了也卸载了，比他们更早的手游moba还有指间刀塔，和刀塔西游，还有混沌与秩序3，还有虚荣，也在玩，指间刀塔坑钱严重，混沌要加速器，高门槛，虚荣内测玩了一段时间关服就没玩了，刀塔西游出了自由之战时退了。最后就剩农药了。平安京（太慢了蛋糕都没了）跟那个时空猎人公司那个moba根本不敌。王者农药s0有3个赛季，一月一个赛季，游戏玩法是3v3那个地图，没有上面的野区，节奏紧凑，英雄没有蓝条，没有装备，升级点被动技能，点大招，没有回家，治疗小技能能开始快速回复70%生命，挨打会打断，不用回家。出门就打架，1人兵线路，2人下面打野，3分钟爆君出生，爆君baff资源至关重要，开局干架干到尾，数值平衡的很好。你能想象韩信当年是打一套就跑那种吗，扁鹊是adc，数值平衡的好，不会出现那种瞬间满血暴毙的情况。那个伤害大数字的ui我挺喜欢可惜改了。项羽和妲己是s0新手英雄，并不是亚瑟和艾琳，安琪拉。项羽原本和妲己是cp，项羽是纣王转世。现在应该是吃书了，所以他才会有轮回之力，张良他们要去杀他，怕纣王复苏。现在应该吃书了，艾琳和亚瑟是cp，那时艾琳是那种女王人设。安琪拉和梅林夺舍融合了，但是她原本本质喜欢亚瑟，夺舍的梅林不喜欢亚瑟，身体喜欢亚瑟意识不喜欢亚瑟的状态？爱慕亚瑟？刘禅喜欢安琪拉的。现在应该都吃书了。宫本武藏鬼武者是有剧情的，平行世界？刺杀徐福失败重伤化身鬼武者以上都已吃书。王者农药的官方典藏集是真的烂，早知不买好了，早期游戏版本制作美工，设定毛都没有，一堆大白话没用的话，给坑了。可惜s1出了5v5后就不管了，不更新了，老数值和一直变动的英雄数值不匹配，核心玩法体验崩坏了。原因，直接删除了原本的升级加技能机制，换成经典moba的商店买装备，治疗技能回复改了，回复巨低，那3v3模式直接废了。现在版本能体验的3v3玩法，是不完整的，崩坏的 。我那时是永恒什么战队，战队第一赛季排名前3的。后面没法天天玩就退战队了。早期中期版本5v5，刺客英雄的天下，adc长期都是提款机，坦克又脆皮，之后版本慢慢更新吊的英雄会给砍爆。弱的会加强。,1,0
24415067,婷宝贝,1619524644,华为荣耀9i,2312,5,不知道咋说反正我玩的很难 老是输,1,0
24415023,简沫,1619524409,华为SEA-AL00,0,1,上一把败方MVP金牌，这一把金牌也输了，下一把还是输了，这匹配机制真的不是人玩的,0,0
24414994,Air,1619524267,荣耀 V30 Pro,24066,2,游戏没有平衡性，玩家很多素质低的，匹配机制也是真的恶心。,1,0
24409539,耀吹晚风吗,1619523855,OPPO Reno3 5G中国版,0,4,支持一下，玩了很久的游戏，越玩越觉得好玩，很给力的一款游戏，希望有更多的玩家来玩。,0,0
24414847,约定,1619523422,Vivo iQOO,0,1,匹配机制举报机制跟脑残有什么区别,0,0
24414550,焦糖布丁,1619522089,,41785,1,可以还我696小时吗,1,0
24414536,Wang.I,1619521984,OPPO R11s,89197,5,好玩,0,0
24413740,手机用户82791358,1619519425,华为Honor 10,46918,5,好玩,0,0
15460522,朝来晚别,1619519123,华为Nova 3,73131,2,匹配机制永远的痛点更新两个G以上昨晚更了一个小时以上，打开觉得怪怪的，有点&hellip;嗯怎么说？塑料感廉价感？还有点花里胡哨的有点眼花&hellip;连模拟战都卡爆了，呵呵&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;&mdash;太占内存了，十个G多，很久没打开过，也一直都不太想玩，卸载好久了,2,0
24413220,波波,1619517787,华为GLK-AL00,1045,5,这款玩了很久的游戏必须好评，腾讯经典，大写的赞,0,0
24413008,bad boy,1619516961,华为MediaPad M3 Lite,0,3,不咋,0,0
24412960,风花损怎堪瞻,1619516773,红米Note 8 Pro,103167,1,好可惜,0,0
24412722,微漠,1619515818,小米MIX 3,0,2,还我艾琳&lt;(｀^&acute;)&gt;,0,0
24412361,马可,1619514427,Vivo V1829A,0,3,中等玩家，永远排的好＞打的好，意识大于操作，巅峰队友太搞心态，演员太多了,0,0
24412328,Svanur,1619514283,Vivo V1901K,1869,2,明眼人都觉得眼熟但也没什么了鹅厂老操作了，能在手机上做出这种成绩也算它牛逼，画面和角色是越来越精致了，战术也越来越华丽了，甚至华丽的有点太特么过了，一个小团战打起来整个屏幕算是特效，好家伙阿珂上天式增强，不知道谁才是光污染第一人。技能抄袭，角色皮肤抄袭各种抄袭就只想呵呵,4,0
24412252,dingzixuan,1619513951,,3454,1,玩了这么久，也不知道哪个英雄适合我，每次打排位拿的都是亚瑟，至少从一开始我就是玩的这个，比较熟悉这个，打排位就不会被别人说坑，记得有几次打排位，就有人说拿新手英雄有意思吗？没有英雄就不要来打排位吧！什么什么的，当时吧就非常的无语。所以想说就是有没有比较适合手残党的英雄，不想被骂了,0,0
